ad_title,organic_video_url,ad_url,ad_unlisted,upload_date,ad_genre,views_count,duration_time,ad_likes,ad_dislikes,ad_cta_link,ad_description,ad_links,count,channel_name,ad_channel_link,ad_channel_subscriber,channel_created_date,total_videos
Start Saving On Your Car Insurance Today | Pretected,https://www.youtube.com/watch?v=dPro17O-pUA,https://www.youtube.com/watch?v=VDR3VVWSIeU,No,"Apr 13, 2020",N/A,0,0:35,0,0,https://www.pretected.com/get-car-insurance?utm_source=Youtube&utm_medium=104448313669&s=424&utm_campaign=10265112700&sf=1&utm_term=&device=youtube.com&adposition=none&gclid=EAIaIQobChMI1Oz3wcju6wIVFpuQBB0_9gldEAEYASAAEgKJ5PD_BwE,"Lowering your auto insurance rates has never been easier!
All you need to do is go to Pretected.com: 

1. Enter your zip code
2. Provide some basic information 
3. That's it!
 
Get the cheapest rates from all the best insurance providers with Pretected.com",,1,Pretected,https://www.youtube.com/channel/UCc_8j_l9ApgE94AW_sGQFzQ,258 ,"Oct 31, 2018",41
"""Enjoy Your Road Trip End of Summer Savings"" Small Batch Family of 2020 Crossovers",https://www.youtube.com/watch?v=tSAZc1gFAZM,https://www.youtube.com/watch?v=7t_TNktpjOg,Yes,"Sep 3, 2020",Autos & Vehicles,679592,0:15,1 ,0,https://www.mitsubishicars.com/suv-crossovers?cid=display-olv__FY20Q2-In-Market-YouTube_24358635_4841989_275873546_134665571_471449151_CUV_891,"#outlandersport #mitsubishioutlander #eclipsecross 

New adventures are here. And our small batch family will give you peace of mind with roadside assistance we've got your covered. Enjoy your road trip. End of summer savings.

Learn more here: https://www.mitsubishicars.com/suv-cr...

Subscribe to the Mitsubishi Motors North America YouTube channel: http://mitsucars.co/YouTube


Follow Mitsubishi Motors on Social Media:

Facebook: https://www.facebook.com/Mitsubishi/
Twitter: https://twitter.com/mitsucars
Instagram: https://www.instagram.com/mitsubishim...


About Mitsubishi Motors North America: 
This is the official YouTube channel for Mitsubishi Motors North America. Subscribe to our channel to see the latest videos about our vehicles, technology, innovation, and more.","#outlandersport ,#mitsubishioutlander ,#eclipsecross ,https://www.mitsubishicars.com/suv-cr... ,http://mitsucars.co/YouTube ,https://www.facebook.com/Mitsubishi/ ,https://twitter.com/mitsucars ,https://www.instagram.com/mitsubishim...",6,Mitsubishi Motors North America,https://www.youtube.com/channel/UC3gTU9KkYiotq_F-UXukBag,25800,"Sep 18, 2006",78
Play-Doh - 'Slime Rainbows' Digital Bumper,https://www.youtube.com/watch?v=9qljsvSy9LU,https://www.youtube.com/watch?v=S4Dqdyqly4w,Yes,"Sep 7, 2020",People & Blogs,22,0:06,0,0,https://playdoh.hasbro.com/en-us,,,1,"Hasbro, Inc.",https://www.youtube.com/channel/UCUvStm5xMDiDn-oZNZWLAJQ,0,"Sep 19, 2019",0
Gecko75Years RockyMountains Video 15 Final,https://www.youtube.com/watch?v=NlpqmO00g0c,https://www.youtube.com/watch?v=_z2GlrEMeqs,Yes,"Jul 16, 2020",Entertainment,4,0:15,0,0,https://www.geico.com/landingpage/go470/?soa=88201&zip=&dclid=CKa2l5jP7usCFQUIswAdCa0Hzg,,,1,ZEFRadvertising,https://www.youtube.com/channel/UClGYV3ZbH8QkxCdjb_t8R9w,0,"Nov 7, 2012",2
2020 Toyota RAV4 | The Getaway part 2,https://www.youtube.com/watch?v=tt9WBWV24wU,https://www.youtube.com/watch?v=i9YbShuR5Js,No,"Sep 5, 2019",Autos & Vehicles,675966,0:15,8 ,0,https://explore.setbuyatoyota.com/rav4/?cid=M_SET_2020_GM_Youtube_Google_Core_Video_GM_ProspectingRetention_NA_1x1_SS1x1CrossDev_N_NA&gclid=EAIaIQobChMIlJbPrc_u6wIVBsAOAB2H6wo5EAEYASAAEgLZyvD_BwE,"With its powerful performance and cutting-edge tech, the 2020 Toyota RAV4 is the perfect car for getting outside your comfort zone and into something different.

To learn more about the 2020 RAV4 and its features, visit https://explore.setbuyatoyota.com/rav4/",https://explore.setbuyatoyota.com/rav4/,5,Local Toyota Dealers,https://www.youtube.com/channel/UCziLsdVG7SU5CBSlS9eKumg,2440,"Jan 27, 2012",35
030010 LONGINES ACIER REVEAL 15s VA MIX 25PSF 16 9 200401,https://www.youtube.com/watch?v=HB1pbvWJu2o,https://www.youtube.com/watch?v=z4aW_KUmsAo,Yes,"Aug 26, 2020",Howto & Style,93705,0:15,0,0,https://www.longines.com/en-us/watches/sport/longines-spirit/?utm_source=pixability&utm_medium=video&utm_campaign=Pixability-SP1&gclid=EAIaIQobChMIm9q70M_u6wIVzOMoBR3hYQ9qEAEYASAAEgIuRPD_BwE,"Longines presents new timepieces that are a testimony to the pioneering spirit. A glowing tribute to these exceptional men and women who, by a record, an exploit or a display of courage, have left their mark on history - encouraging new generations to push the boundaries. Discover more on https://www.longines.com/longines-spi....",https://www.longines.com/longines-spi...,1,Longines,https://www.youtube.com/channel/UCtEHSLKBi3z4XO3C-_VnrGg,0,"Jun 27, 2007",292
NOS Product EnergyRift 15,https://www.youtube.com/watch?v=tQ4pZQltoW0,https://www.youtube.com/watch?v=mwbhMHTlDkU,Yes,"Jul 10, 2020",Sports,21,0:15,0,0,https://drinknos.com/?utm_source=zefr&utm_medium=digitalvideo&utm_campaign=nos_energyrift15_awareness_northamerica_nullnull_2020_nullnull,,,1,drinknosenergy,https://www.youtube.com/channel/UCEhvyjsRnafjYmqwJ_haguw,7930,"Nov 7, 2007",56
Female smelling bars - v2,https://www.youtube.com/watch?v=pbKXK5t6gQ0,https://www.youtube.com/watch?v=tq8Ms3RG-UI,Yes,"Jun 22, 2020",Entertainment,26780199,3:02,641 ,351 ,https://drsquatch.com/?campaignid=10807020210&adgroupid=109428542067&adid=461386760837&gclid=EAIaIQobChMIg5a6-8_u6wIVVMEOAB244QPsEAEYASAAEgIqJvD_BwE,,,3,Dr. Squatch Soap Company,https://www.youtube.com/channel/UCfb6EofrRqeK6ttHgxZRjcA,47600,"Mar 23, 2018",43
SKYRIZI is here,https://www.youtube.com/watch?v=WuBgpS78hvw,https://www.youtube.com/watch?v=21B3swvC704,Yes,"Aug 1, 2019",People & Blogs,150,0:06,0,0,https://www.skyrizi.com/?ISI=1?cid=DFA:971822:266821253:462123340:125218140&gclid=EAIaIQobChMInezpiNDu6wIVd8EOAB0jJwJBEAEYASAAEgKC5fD_BwE,,,2,AbbVie channel,https://www.youtube.com/channel/UCyJU4LiOoflPHkYkpWsUBPw,0,,0
2020 Subaru Models- 0% APR Financing,https://www.youtube.com/watch?v=PtVmEslFKOk,https://www.youtube.com/watch?v=85FdxVg6Q4Q,Yes,"Sep 8, 2020",People & Blogs,388577,0:15,0,0,https://www.troncallisubaru.com/new-inventory/index.htm?tcdcmpid=762891&tcdadid=464278329062&tcdkwid=&utm_campaign=T2+SOA+EST+New+Vehicle+Boost+%28YT+Video%29+Sept+2020&utm_medium=Video&utm_source=Google+Adwords&utm_content=110685347442&ddcref=display&gclid=EAIaIQobChMI-9qJx9Du6wIVR7iQBB092woGEAEYASAAEgLYt_D_BwE,"Get 0% APR Financing For Up To 63 Months On All New 2020 Ascent, Forester, Outback, Legacy and Impreza Models. Offer Ends September 30th, 2020.",,1,Subaru Dealership,https://www.youtube.com/channel/UClMeSCsjPA6BWZbPdKL4urw,4 ,"Apr 1, 2019",0
DODGE CHARGER FLOW SERIES DRL- RGBHALOKITS,https://www.youtube.com/watch?v=U2nT4P27bMI,https://www.youtube.com/watch?v=6-sb9_5va48,No,"Apr 4, 2020",Autos & Vehicles,13387,1:05,40 ,1 ,https://rgbhalokits.com/?gclid=EAIaIQobChMI5sb3i9Hu6wIVEYuQBB3sHw1DEAEYASAAEgKe3_D_BwE,"Photographer: @shots_by_shabazz
vehicle: canigetsum

PRODUCT LINK: 
https://rgbhalokits.com/collections/d...

OEM Style, Multicolor Function. The Dodge Charger Headlights have white LED DRLs in the headlamps, which provide a modern and distinct look on the road. By replacing the oem drls tubes inside with our Multicolor flow series drl kit, you can seriously make your ride stand out! Your order includes two sets of LED Strips, one set for each side of the vehicle.

Flow Series . This product is flow series! That means complete rgb functionality +150 beautiful, flowing, motion like effects.",https://rgbhalokits.com/collections/d...,1,rgbhalokits,https://www.youtube.com/channel/UCDxyyAYaEkd93uzLf3gCOdA,202 ,"Jun 29, 2012",35
MCD ATL Breakfast 2for2MixandMatchAug YouTube OLV GCM 15 Video 1,https://www.youtube.com/watch?v=rucp4fyIKuU,https://www.youtube.com/watch?v=CwY48OkeVbo,No,"Aug 14, 2020",N/A,0,0:15,0,0,https://www.mcdonalds.com/us/en-us/product/sausage-mcmuffin.html?utm_source=effectv&utm_medium=be&utm_content=127751-4790438-50126-YouTube&utm_term=all&utm_campaign=fy20-mcd-q3-atl,,,1,MCD YouTube,https://www.youtube.com/channel/UCxgGm4ORAOyfAlPOVYS-gbg,0,"Jan 7, 2020",2
OLLY SLEEP 2020 15 YouTube,https://www.youtube.com/watch?v=nXzi5H-NO9E,https://www.youtube.com/watch?v=lPY9AlfjA0o,No,"Jan 6, 2020",People & Blogs,4185,0:15,61 ,11 ,https://www.olly.com/?utm_source=ZEFR&utm_medium=1075710342&utm_campaign=OLLY_2H_DIG,,,2,OLLY Nutrition,https://www.youtube.com/channel/UCe4liATjsfRLQfHXZkD8EMQ,3300,"Dec 22, 2017",18
Nexgen Ad 4,https://www.youtube.com/watch?v=VLywh3j48ZI,https://www.youtube.com/watch?v=ch45YvyOZHE,Yes,"Jul 7, 2020",Autos & Vehicles,1065503,2:55,0,0,https://getnexgen.com/cf/?utm_source=google&utm_medium=cpc&utm_campaign=videoprospecting&utm_term=&gclid=EAIaIQobChMIk47U6NHu6wIVlruQBB1qLghdEAEYASAAEgLGSfD_BwE,,,2,Nexgen,https://www.youtube.com/channel/UC7CoTjOMHQ_OEmKm3xd6_Lg,4190,"Feb 13, 2019",7
"Today's The Day ""Hybrid Power"" Video",https://www.youtube.com/watch?v=2QF-BcFmi5E,https://www.youtube.com/watch?v=plCpaS5ONhY,Yes,"Sep 1, 2020",Autos & Vehicles,19658,0:15,0,0,https://explore.setbuyatoyota.com/toyota-lineup/?cid=M_SET_2020_GM_Youtube_Google_Core_Video_GM_ProspectingRetention_NA_1x1_SS1x1CrossDev_N_NA&gclid=EAIaIQobChMIvYqz_dHu6wIVioWQBB1eJwwZEAEYASAAEgJV4vD_BwE,,,1,Local Toyota Dealers,https://www.youtube.com/channel/UCziLsdVG7SU5CBSlS9eKumg,2440,"Jan 27, 2012",35
2020 Toyota RAV4 | The Getaway part 1,https://www.youtube.com/watch?v=pPCReiIwB0U,https://www.youtube.com/watch?v=oTlD_qovxM0,No,"Sep 5, 2019",Autos & Vehicles,190962,0:15,6 ,1 ,https://explore.setbuyatoyota.com/rav4/?cid=M_SET_2020_GM_Youtube_Google_Core_Video_GM_ProspectingRetention_NA_1x1_SS1x1CrossDev_N_NA&gclid=EAIaIQobChMI57OukdLu6wIVdcIOAB0XoA-JEAEYASAAEgIqdvD_BwE,"With its powerful performance and cutting-edge tech, the 2020 Toyota RAV4 is the perfect car for getting outside your comfort zone and into something different.

To learn more about the 2020 RAV4 and its features, visit https://explore.setbuyatoyota.com/rav4/",https://explore.setbuyatoyota.com/rav4/,1,Local Toyota Dealers,https://www.youtube.com/channel/UCziLsdVG7SU5CBSlS9eKumg,2440,"Jan 27, 2012",35
Enter the 2020 Sea Foam Classic Muscle Car Sweepstakes 30-sec,https://www.youtube.com/watch?v=Lh6ETOmV3eM,https://www.youtube.com/watch?v=BtB8Ne24z_k,No,"Sep 8, 2020",Autos & Vehicles,9959,0:30,49 ,2 ,https://app.viralsweep.com/vrlswp/full/e4d84b-66798?utm_source=google&utm_medium=30sechighmileagevideoad&utm_campaign=seafoamcamaro&gclid=EAIaIQobChMIuJ_YntLu6wIVLbWQBB3vvAP7EAEYASAAEgKmB_D_BwE,"Enter now for a chance to win a ""restomod"" 1969 Chevrolet Camaro in the 2020 Sea Foam Classic Muscle Car Sweepstakes.  #SeaFoamWorks",#SeaFoamWorks,1,Sea Foam Official,https://www.youtube.com/channel/UC0KUh_Ud3FE1OBCQ-eP2_FA,35600,"Apr 3, 2009",96
"Mix & Match 3.0 Unspoiler | Disney+, Hulu, and ESPN+ Included with select Unlimited Plans | Verizon",https://www.youtube.com/watch?v=MWRG9WAk9gU,https://www.youtube.com/watch?v=4ARlNsPVjl8,Yes,"Aug 28, 2020",Entertainment,7617428,0:15,1 ,0,https://www.verizon.com/plans/unlimited/?cmp=OLA-C-HQ-NON-A-AW-NONE-M&M3.0Unspoiler-2A0MC0-MC-P-YTU-RE-PP-NONE-24362649_2612845_280646047_136634751&dcmID=1&utm_medium=OLA&utm_source=YTU&utm_campaign=M&M3.0Unspoiler&utm_content=AW&utm_term=RE&dclid=CPbj9LnS7usCFTIuswAdc6oFaQ,"Ugh, spoilers. They're everywhere. But now, thanks to Verizon you can see it before its spoiled. Because Disney+, Hulu, and ESPN+ are now included so you can watch it for yourself.",,16,Verizon,https://www.youtube.com/channel/UCDF1rHyRH8LcxbHX5_mrZ0w,349000,"Oct 22, 2005",652
Basketball Team Surprised With A Makeover Of Their Old Locker Room | Surprise High School Makeovers,https://www.youtube.com/watch?v=z4zilQLGdfs,https://www.youtube.com/watch?v=7gpqEHhGKUQ,No,"Sep 8, 2020",Science & Technology,583223,16:53,208 ,10 ,https://www.youtube.com/watch?v=8lFpXpI9UVg&feature=youtu.be&gclid=EAIaIQobChMIocOny9Lu6wIVpcEOAB2DDwJCEAEYASAAEgK7i_D_BwE,"If you liked the story, please like and leave a comment!

================================================
Download BAND here: https://go.onelink.me/d0IL/e178796a
================================================

A heartfelt story emerges from the small Midwestern city of Eldon about whats possible when a community comes together.

No way, wow!, That is a transformation! exclaimed the students of Cardinal Community High School when their brand new locker room was revealed to them as a surprise. The Cardinal Comets are a basketball team in Eldon, a small city of population 950 in the Midwestern state of Iowa. The teams locker room was in very bad shape - poor lighting, run down furnishing, and rusty-dented lockers. Students nicknamed it The Dungeon. It certainly was not a place that said You are important to the students.

Coach Strasko wanted to change that. He found a way by teaming up with BAND. Coach Strasko and the Comets are a longtime user of the BAND app, which they use to communicate as a team every day. BAND wanted to give back to its users and was looking for a candidate for the Surprise High School Makeover, an original content series by BAND. Coach Strasko told his teams story to BAND with a video of their old locker room and was selected by BAND. Check out the full story through the video above!

BAND is a free and robust communication platform widely utilized by high school sports teams, cheer squads, marching bands, as well as other after-school activities. BAND believes in the importance of after-school activities and the positive impact it can have on students.

GO COMETS!",https://go.onelink.me/d0IL/e178796a,6,BAND,https://www.youtube.com/channel/UCo4nNxPug24w15_YhvYMYoQ,3730,"Apr 22, 2014",125
Finding a Dermatologist for Hidradenitis Suppurativa (HS),https://www.youtube.com/watch?v=jGaRXa51aMI,https://www.youtube.com/watch?v=8iqdSUpZngg,Yes,"Jul 29, 2019",People & Blogs,34,0:15,0,0,https://www.nobsabouths.com/treat-hidradenitis-suppurativa/dermatologist-near-me?cid=DFA:971822:266542597:461394697:121182563&gclid=EAIaIQobChMI-YfRhdPu6wIV2bGQBB2jYwtfEAEYASAAEgIUwfD_BwE,Tara talks about the importance of finding a dermatologist for hidradenitis suppurativa (HS).,,1,AbbVie channel,https://www.youtube.com/channel/UCyJU4LiOoflPHkYkpWsUBPw,0,,0
